gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_207s0151g01060.1	692	631	593	489	388	473	-0.411435774	0.00853494	0.032611729
VIT_207s0005g04430.1	203	246	223	175	158	186	-0.29347931	0.173097308	0.334500258
VIT_211s0016g03670.1	2902	2167	2019	1968	1936	2033	-0.152770725	0.175806281	0.338263414
VIT_200s0527g00030.1	1	0	0	2	0	0	1.041841202	0.793742148	1
VIT_213s0047g00920.1	104	89	88	118	97	120	0.347655846	0.158049619	0.314580804
VIT_201s0011g06380.2	2209	1952	2034	1840	1720	1867	-0.102518209	0.381775328	0.56670916
VIT_214s0219g00300.1	104	72	79	39	41	71	-0.662961247	0.051354874	0.13666504
VIT_205s0020g04110.2	177037	157492	152029	126741	102377	109302	-0.428525685	0.000863763	0.004815294
VIT_203s0017g01930.1	951	843	705	1159	1169	1230	0.606775867	5.78E-08	9.63E-07
VIT_215s0107g00210.1	243	243	244	221	186	207	-0.163509685	0.402020986	0.586550938
VIT_218s0089g00310.1	5	0	0	0	0	0	-2.927467583	0.460454713	1
VIT_218s0001g15000.3	1357	1102	1115	1523	1396	1555	0.418858357	0.000377306	0.002377144
VIT_216s0013g00370.1	151	124	106	161	183	166	0.519119377	0.010786148	0.039661382
VIT_203s0091g01030.4	1770	1565	1425	1338	1417	1345	-0.121687051	0.222273501	0.396481678
VIT_211s0118g00180.1	546	616	629	546	489	663	-0.00207484	0.991205163	0.99580575
VIT_214s0060g01880.1	250	94	46	31	43	49	-1.50389427	0.002191313	0.010604209
VIT_204s0008g04380.2	307	310	270	293	341	371	0.266224949	0.101915806	0.228736462
VIT_217s0000g06830.1	866	866	739	680	562	692	-0.261314441	0.079051921	0.189878126
VIT_218s0001g11670.1	2	3	2	0	5	3	0.249464696	0.870910549	0.932553269
VIT_219s0090g00990.1	1159	1049	1014	1104	1010	1060	0.06999766	0.56301686	0.726183037
VIT_217s0000g10190.1	7973	6628	6274	5196	4985	4967	-0.365610435	0.000163234	0.00114585
VIT_210s0003g05780.1	13	7	2	1	5	3	-1.151376101	0.315344521	0.501867673
VIT_204s0008g05680.1	1	0	0	0	0	0	-0.873858765	0.830425212	1
VIT_207s0005g02470.1	604	404	395	450	508	475	0.13513591	0.390419193	0.575216078
VIT_212s0034g02140.1	8400	8609	9090	9538	10300	10179	0.278760761	0.031094604	0.092491645
VIT_205s0029g01110.1	0	2	4	0	10	2	0.970951809	0.585020845	0.743201166
VIT_211s0103g00210.1	97	158	95	114	92	92	-0.146237634	0.635523417	0.780270938
VIT_201s0127g00036.1	14	13	18	11	8	12	-0.461220701	0.476100708	0.653944904
VIT_208s0040g01900.1	384	394	280	423	349	323	0.151278223	0.435251326	0.617267234
VIT_201s0244g00120.1	287	252	242	199	230	227	-0.16159852	0.329866085	0.516780252
VIT_206s0004g04400.1	0	2	0	0	0	0	-1.791717622	0.657106746	1
VIT_210s0003g02780.2	2340	2242	2307	2760	2554	2813	0.322960328	0.009631046	0.035965247
VIT_200s0341g00070.1	5	11	2	4	6	8	0.0903321	0.927789896	0.962775012
VIT_211s0078g00430.1	695	726	620	954	1130	1013	0.687752332	1.43E-07	2.23E-06
VIT_207s0005g06150.1	380	408	365	396	395	450	0.190204845	0.229831122	0.405782618
VIT_208s0056g00190.4	18482	15654	12880	11854	13320	13361	-0.187769887	0.054044951	0.142176685
VIT_218s0001g10530.1	206	187	163	103	123	93	-0.707751897	0.001100834	0.005929105
VIT_211s0016g02290.1	1031	865	780	660	810	812	-0.13618867	0.267143806	0.449251024
VIT_218s0001g09170.1	7475	5854	5347	4236	4924	5187	-0.282796067	0.007492973	0.029390888
VIT_200s0218g00200.1	293	154	187	194	162	159	-0.185779616	0.453745932	0.634115753
