gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_00s0211g00040.t01	326	476	429	395	402	454	0.126276131	0.412337841	0.596757446
VIT_08s0007g08580.t01	695	983	710	935	877	855	0.266970396	0.051820319	0.136429341
VIT_12s0035g01020.t01	7507	8073	7604	7301	6599	6726	-0.076322777	0.509999895	0.682453837
VIT_19s0015g02840.t01	0	4	4	0	1	2	-1.28271365	0.528502618	0.698195503
VIT_10s0003g00030.t01	2	8	7	4	10	4	0.20488729	0.840285488	0.911201365
VIT_10s0042g00790.t01	1	8	4	0	4	2	-0.974806804	0.523074686	0.693505564
VIT_18s0001g08160.t01	2	14	13	1	1	1	-3.129296682	0.019715133	0.063967323
VIT_14s0068g00640.t01	14095	17866	14377	13458	14910	15721	0.025648222	0.779616378	0.876813795
VIT_07s0151g00980.t01	13	10	24	17	9	8	-0.379979029	0.59709261	0.751893651
VIT_10s0116g00360.t01	12762	16233	13747	12196	13330	13646	-0.028194394	0.729394814	0.845275174
VIT_09s0002g01040.t01	16358	20903	19286	20692	22506	23842	0.342289736	0.000129054	0.000915272
VIT_00s0450g00010.t01	0	2	0	0	0	0	-1.614346955	0.690362247	1
VIT_02s0025g04750.t01	372	566	491	484	519	634	0.29976729	0.064043819	0.160123533
VIT_11s0037g01120.t01	1887	2394	2674	2905	2472	1995	0.186191011	0.302525894	0.48630549
VIT_14s0083g00160.t01	4943	6641	6653	5970	5494	5092	-0.036581232	0.781211992	0.877897478
VIT_09s0002g04680.t01	39356	46609	39381	38547	38993	36030	-0.045666322	0.638342835	0.782219152
VIT_18s0001g05730.t01	5384	6960	5919	4813	4869	5189	-0.196885841	0.024366465	0.075670548
VIT_10s0003g05440.t01	11	11	6	1	9	6	-0.735750045	0.448222689	0.629320267
VIT_14s0030g00700.t01	2708	3747	3046	2744	2575	2398	-0.193893997	0.097850675	0.220411894
VIT_08s0007g04760.t01	2595	4115	3307	3112	2662	2765	-0.116622884	0.401593084	0.586732826
VIT_02s0025g04920.t01	2139	2322	2172	2807	2896	2961	0.475747594	4.41E-06	4.60E-05
VIT_11s0016g02030.t01	0	4	4	2	4	2	0.141753257	0.925852839	0.959893704
VIT_02s0025g01160.t01	3916	4954	4192	4064	4111	4111	0.010786811	0.902490469	0.946986083
VIT_11s0016g03440.t01	4420	5878	4429	3838	3808	3755	-0.265920239	0.010823507	0.039281319
VIT_14s0068g01500.t01	1668	3167	1589	361	602	744	-1.79649947	1.58E-12	5.33E-11
VIT_02s0012g02810.t01	126	158	89	170	244	257	0.942505002	0.00024667	0.00161927
VIT_12s0057g00350.t01	0	4	2	0	0	0	-3.253078147	0.310996121	1
VIT_05s0124g00390.t01	439	433	381	418	476	442	0.178466988	0.265866646	0.446464877
VIT_07s0031g00100.t01	2527	2737	2705	2240	2244	2189	-0.165295288	0.133565454	0.27571657
VIT_10s0042g00770.t01	16	19	12	13	38	84	1.600622817	0.01406337	0.048605131
VIT_11s0103g00300.t01	2032	2287	2001	1726	1870	1774	-0.14263794	0.170372358	0.329338613
VIT_04s0044g00240.t01	0	6	3	3	1	2	-0.394481978	0.808171864	0.893887729
VIT_07s0031g01550.t01	110	138	128	130	106	128	0.052984271	0.819961755	0.900749284
VIT_18s0001g14380.t01	2382	3045	2552	2421	2783	2473	0.042589028	0.667902188	0.802611336
VIT_04s0008g06630.t01	1379	1892	1589	1407	1693	1689	0.078381362	0.479995817	0.65661753
VIT_12s0059g00050.t01	145	82	145	503	469	379	1.926588654	1.48E-11	4.38E-10
VIT_07s0005g01960.t01	1915	2386	2477	2135	2096	1813	-0.067026813	0.619594024	0.768143612
VIT_08s0040g02830.t01	3220	4488	3231	2247	2890	2857	-0.35139057	0.005801066	0.023492574
VIT_14s0081g00670.t01	0	4	0	0	0	2	-0.775115288	0.816324117	1
VIT_04s0008g01650.t01	0	0	8	0	0	0	-3.789847428	0.273732746	1
VIT_06s0004g02020.t01	81	73	95	14	44	76	-0.832214847	0.098771102	0.222004704
VIT_19s0014g04660.t01	10473	13520	12563	11662	10197	9068	-0.137709677	0.307268438	0.491136156
VIT_08s0056g00850.t01	0	0	0	0	0	4	2.921767243	0.462214843	1
VIT_07s0141g00180.t01	300	408	409	379	341	385	0.085705116	0.606589419	0.758261611
VIT_18s0122g01190.t01	6786	13357	11264	10887	10159	9307	0.072776063	0.680711944	0.811898487
VIT_09s0002g06060.t01	1339	1718	1345	959	1181	1185	-0.307991234	0.010418443	0.038078634
VIT_08s0007g00060.t01	2135	2598	2177	1498	1933	2057	-0.240304853	0.059837925	0.152099132
VIT_04s0008g06140.t01	199	133	184	37	26	26	-2.463220963	1.98E-12	6.60E-11
VIT_12s0059g01170.t01	2048	2649	2469	2121	2530	2477	0.088459079	0.400694371	0.585943225
VIT_05s0124g00530.t01	905	1101	944	1514	1639	1878	0.864730581	1.22E-13	4.92E-12
VIT_01s0011g05960.t01	3468	4176	3707	3982	3945	3964	0.163749015	0.074483334	0.179880276
VIT_18s0041g01750.t01	1801	2059	1766	1491	2074	2246	0.133890904	0.37159529	0.558221845
VIT_12s0057g00470.t01	213	179	182	368	333	352	0.957328773	2.61E-06	2.89E-05
VIT_04s0008g05840.t01	1747	2321	1727	1339	1744	1767	-0.15894994	0.22861102	0.402836932
VIT_04s0023g02670.t01	6	1	4	6	3	2	0.047294789	0.970120814	0.98343544
VIT_18s0086g00540.t01	0	1	0	0	0	0	-0.870065105	0.831150269	1
VIT_12s0035g00260.t01	76	125	59	38	52	49	-0.790846944	0.024540482	0.076076823
VIT_03s0038g01960.t01	1636	1427	1269	516	604	619	-1.23992942	4.18E-13	1.54E-11
VIT_06s0009g02920.t01	12	12	2	2	0	0	-3.580391058	0.026716138	0.081497391
VIT_16s0039g01330.t01	368	241	375	165	362	463	0.058734217	0.863095814	0.924180879
VIT_09s0002g03250.t01	7900	9761	9890	9349	8652	8008	0.015783796	0.898487217	0.944696781
VIT_09s0018g01160.t01	7	4	2	6	5	4	0.277346965	0.79612359	0.886832491
VIT_09s0054g01830.t01	1120	1249	1130	1017	1236	1227	0.081399488	0.497353758	0.671338148
